Survey ID,cat,polarity-roberta,polarity-ms,polarity-fb,sentence,True_label
38260221,Price,Positive,Positive,Positive,I use this for my printer. Great price!,Positive
38317821,Others,Negative,Neutral,Negative,name brands are extra expensive.,Negative
40822260,Delivery,Positive,Positive,Positive,On Time Delivery as advertised!!!!,Positive
43144819,Price,Positive,Positive,Positive,to expensive but good product,Positive
43144819,Product Quality,Positive,Positive,Positive,to expensive but good product,Positive
50598923,Price,Positive,Positive,Positive,"Great price, reliable product.",Positive
50598923,Product Quality,Positive,Positive,Positive,"Great price, reliable product.",Positive
73746308,Others,Negative,Neutral,Negative,What could possibly go wrong ???,Neutral
73746783,Price,Positive,Positive,Positive,I use this for my printer. Great price!,Positive
93843989,Price,Positive,Positive,Positive,Fast shipping and good price,Positive
94559355,Product Quality,Positive,Positive,Positive,Excellent quality and wear!,Positive
110317001,Others,Positive,Neutral,Positive,Order came very quick!,Positive
117483634,Others,Negative,Positive,Negative,Good but expensive but this is Biden' fault,Negative
118156397,Price,Positive,Positive,Positive,Great price and delivery right to my front door!,Positive
118156397,Product Quality,Positive,Positive,Positive,Great price and delivery right to my front door!,Positive
118156397,Delivery,Positive,Positive,Positive,Great price and delivery right to my front door!,Positive
177121152,Product Quality,Positive,Positive,Positive,The best quality toner out there,Positive
179787323,Price,Positive,Positive,Positive,A great deal!! I ordered 2 at one time!!,Positive
179787323,Product Quality,Positive,Positive,Positive,A great deal!! I ordered 2 at one time!!,Positive
179787323,Delivery,Positive,Positive,Positive,A great deal!! I ordered 2 at one time!!,Positive
179790933,Price,Positive,Neutral,Negative,HP product.  Prices are going up though.,Negative
181609130,Price,Positive,Positive,Positive,A little expensive. But product works great.,Negative
181609130,Product Quality,Positive,Positive,Positive,A little expensive. But product works great.,Positive
184912651,Delivery,Positive,Positive,Positive,item was as expected and delivery was on time.,Positive
215252362,Delivery,Positive,Positive,Positive,Quick ordering and delivery,Positive
216387330,Others,Positive,Positive,Positive,little pricey but happy with it.,Positive
216387332,Others,Positive,Positive,Positive,little pricey but happy with it.,Positive
245952541,Price,Positive,Positive,Positive,I use HP and happy with this ink price.,Positive
245952541,Product Quality,Positive,Positive,Positive,I use HP and happy with this ink price.,Positive
259655319,Price,Positive,Positive,Positive,Prefer HP products %26 this was reasonably priced.,Positive
259655319,Product Quality,Positive,Positive,Positive,Prefer HP products %26 this was reasonably priced.,Positive
303714726,Delivery,Positive,Positive,Positive,IT WAS FAST AND EXACTLY WHAT I ORDERED!!!!!!!!,Positive
304093877,Price,Positive,Positive,Positive,Fast service and reasonable price,Positive
304093877,Customer Service,Positive,Positive,Positive,Fast service and reasonable price,Positive
306894784,Price,Positive,Positive,Positive,Good price...fast delivery...,Positive
306894784,Product Quality,Positive,Positive,Positive,Good price...fast delivery...,Positive
306894784,Delivery,Positive,Positive,Positive,Good price...fast delivery...,Positive
311438572,Price,Positive,Positive,Positive,Great price. Fast shipping.,Positive
318922020,Delivery,Positive,Positive,Positive,this item I received ok on delivery,Positive
325404133,Delivery,Positive,Positive,Positive,"quick delivery , worked as it should",Positive
341183285,Others,Negative,Negative,Negative,both came in defective,Negative
361393342,Product Quality,Positive,Positive,Positive,Excellent quality and wear!,Positive
361394278,Price,Negative,Positive,Positive,The ink cartridge is good but it is expensive.,Negative
361394278,Product Quality,Negative,Positive,Positive,The ink cartridge is good but it is expensive.,Neutral
365173990,Others,Positive,Positive,Positive,Easy and convenient ink ordering process. Printer is great.,Positive
365801986,Others,Negative,Positive,Positive,When I need Ink I get ink,Positive
366859545,Others,Negative,Negative,Negative,I havenâ€™t received any cartridges for nearly a year.,Negative
366882877,Price,Negative,Positive,Positive,Works very good but ink very pricey.,Positive
367102223,Others,Negative,Negative,Negative,Black ink cartridge drys out when half full.,Negative
367108968,Others,Negative,Negative,Negative,Ink cartridges dry very fast,Negative
367118730,Product Quality,Negative,Negative,Negative,Printer should use bottled ink instead of Cartridge ink,Neutral
367493592,Price,Positive,Positive,Positive,Always buy hp because ink is reasonably priced,Positive
367493592,Product Quality,Positive,Positive,Positive,Always buy hp because ink is reasonably priced,Positive
367497720,Others,Negative,Negative,Negative,Photos are not nice in color and not sharp,Negative
367909984,Product Quality,Positive,Positive,Positive,"Great customer service,  free ink :).",Positive
367909984,Customer Service,Positive,Positive,Positive,"Great customer service,  free ink :).",Positive
367912645,Delivery,Positive,Positive,Positive,Cost-efficient and automatic delivery of ink status and delivery,Positive
367939483,Others,Negative,Negative,Negative,It's noisy when printing and uses ink fast.,Negative
368066808,Others,Negative,Negative,Negative,The ink runs out very quickly,Negative
368085642,Others,Neutral,Neutral,Negative,No ink,Negative
368091066,Others,Negative,Negative,Negative,"Not used frequently, ink cartridges would dry.",Negative
368102826,Others,Negative,Negative,Negative,The ink has only arrived twice...no more,Negative
368108008,Others,Negative,Negative,Negative,Never received ink when needed,Negative
368108203,Others,Negative,Negative,Negative,The ink runs out to fast,Negative
368108589,Product Quality,Positive,Positive,Positive,"The print is fine, but the ink is expensive.",Negative
368132032,Price,Negative,Negative,Negative,High cost of cartridge ink.,Negative
368138488,Others,Negative,Negative,Negative,cartridge cost is very high,Negative
368229372,Others,Negative,Negative,Negative,The ink runs out very quickly,Negative
368239865,Others,Negative,Negative,Negative,My printer runs out of ink too fast,Negative
368243123,Others,Positive,Positive,Positive,I never run out of ink,Positive
368329863,Others,Negative,Negative,Negative,I get too much ink for my usage,Negative
368337432,Others,Negative,Negative,Negative,Waiting for black ink,Positive
368338306,Others,Negative,Neutral,Negative,It uses a lot of ink,Negative
368658867,Price,Negative,Negative,Negative,The printer cartridges are too expensive. Prohibitively expensive!,Negative
368658867,Product Quality,Negative,Negative,Negative,The printer cartridges are too expensive. Prohibitively expensive!,Negative
368661074,Price,Negative,Negative,Negative,The cost of ink is too high.  $150!!!!,Negative
368661074,Product Quality,Negative,Negative,Negative,The cost of ink is too high.  $150!!!!,Negative
368661074,Customer Service,Negative,Negative,Negative,The cost of ink is too high.  $150!!!!,Negative
368664537,Price,Negative,Negative,Negative,The ink was to costly.,Negative
368759163,Price,Positive,Positive,Positive,best price for black ink only,Positive
368762271,Others,Positive,Positive,Positive,Quailty ink at great values when using rewards,Positive
368762505,Product Quality,Positive,Positive,Positive,HPXL  ink is long lasting and makes good prints.,Positive
368763534,Price,Positive,Positive,Positive,"Reasonable price, easy to install, works well.",Positive
368763534,Product Quality,Positive,Positive,Positive,"Reasonable price, easy to install, works well.",Positive
368764236,Price,Negative,Positive,Positive,The ink cartridge is good but it is expensive.,Neutral
368764236,Product Quality,Negative,Positive,Positive,The ink cartridge is good but it is expensive.,Neutral
368765194,Others,Negative,Positive,Negative,This ink is expensive.,Negative
368797464,Price,Negative,Negative,Negative,Ink cartridges are very expensive and last very little.,Negative
368801290,Others,Negative,Negative,Negative,It won't work since I changed my ink cartridges!,Negative
368807766,Price,Negative,Negative,Negative,"Glitchy, did not work reliably, ink was too expensive",Negative
368807766,Product Quality,Negative,Negative,Negative,"Glitchy, did not work reliably, ink was too expensive",Negative
368980159,Delivery,Positive,Positive,Positive,"arrived on time,",Positive
368980275,Others,Positive,Positive,Positive,gives lovely color each time used,Positive
368980557,Product Quality,Positive,Positive,Positive,nice product & fast delivery,Positive
368980557,Delivery,Positive,Positive,Positive,nice product & fast delivery,Positive
368981714,Price,Positive,Positive,Positive,"Great price, product & twin pack from. HP",Positive
368981714,Product Quality,Positive,Positive,Positive,"Great price, product & twin pack from. HP",Positive
368981894,Delivery,Positive,Positive,Positive,"Fast delivery, works great, not cheap.",Positive
368982292,Price,Positive,Positive,Positive,Excellent product. HP OEM at reasonable cost,Positive
368982292,Product Quality,Positive,Positive,Positive,Excellent product. HP OEM at reasonable cost,Positive
368982617,Others,Neutral,Neutral,Positive,Just like you buy at the office store.,Positive
368984807,Others,Negative,Negative,Negative,runs out of ink too fasr,Negative
368985514,Price,Negative,Negative,Negative,too expensive and doesn't last that long.,Negative
368985667,Others,Negative,Neutral,Negative,only lasted for maybe 50 copies,Negative
369098039,Price,Negative,Positive,Positive,It is good but ink too expensive.,Negative
369098039,Product Quality,Negative,Positive,Positive,It is good but ink too expensive.,Negative
369100068,Price,Positive,Neutral,Neutral,Printer is ok but cartridge is very expensive,Negative
369457333,Others,Positive,Positive,Positive,Easy to install. Print is very good.,Positive
369461901,Price,Positive,Positive,Positive,"Great Product, Good Price and Fast Delivery.",Positive
369461901,Product Quality,Positive,Positive,Positive,"Great Product, Good Price and Fast Delivery.",Positive
369461901,Delivery,Positive,Positive,Positive,"Great Product, Good Price and Fast Delivery.",Positive
369463048,Delivery,Positive,Positive,Positive,Delivery on time,Positive
369463443,Others,Neutral,Positive,Positive,I will keep purchasing the item from the store,Positive
369463473,Others,Positive,Positive,Positive,Exactly what I needed . Will buy again,Positive
369463566,Others,Positive,Neutral,Positive,the print quality was clear.,Positive
369463742,Others,Positive,Positive,Positive,Good value,Positive
369465981,Others,Negative,Negative,Negative,ran out of ink after two sheets of printing,Negative
369466500,Delivery,Positive,Neutral,Negative,"Item did not arrive, but listed as delivered.",Negative
369486098,Price,Negative,Negative,Negative,Pricing for ink to expensive.,Negative
369487761,Price,Positive,Neutral,Positive,"Combination of price, performance, small footprint, and cartridge replacement",Positive
369494234,Others,Negative,Negative,Negative,the ink program is  expensive,Positive
369503174,Others,Positive,Positive,Positive,easy to use. does'nt use ink,Positive
369511460,Others,Negative,Negative,Negative,Thought the ink would last longer,Negative
369511627,Others,Negative,Negative,Negative,Having trouble with the black cartridge printing uniformly.,Negative
369515563,Product Quality,Negative,Negative,Negative,Very poor at printing and never received ink,Negative
369520872,Others,Negative,Negative,Negative,Had to buy black ink for my printer,Negative
369635498,Price,Positive,Positive,Positive,Service great and good price. Thanks,Positive
369635498,Product Quality,Positive,Positive,Positive,Service great and good price. Thanks,Positive
369635498,Customer Service,Positive,Positive,Positive,Service great and good price. Thanks,Positive
369638915,Price,Positive,Positive,Positive,GOOD PRODUCT FAST SHIPPING THANK YOU!,Positive
369638915,Product Quality,Positive,Positive,Positive,GOOD PRODUCT FAST SHIPPING THANK YOU!,Positive
369638915,Delivery,Positive,Positive,Positive,GOOD PRODUCT FAST SHIPPING THANK YOU!,Positive
369647444,Others,Negative,Neutral,Neutral,We will see how the ink last,Neutral
369653690,Others,Negative,Negative,Negative,despite requests for ink nothing is delivered,Negative
369664518,Price,Negative,Negative,Negative,ink to expensive.,Negative
369676874,Others,Negative,Negative,Negative,High ink consumption,Negative
369680169,Price,Negative,Negative,Negative,Expensive ink cartridges,Negative
369683869,Others,Positive,Positive,Positive,"Prints well, reliable and easy to change cartridges",Positive
369747734,Price,Positive,Positive,Positive,great for the price,Positive
369747739,Price,Positive,Positive,Positive,this is great for the price,Positive
369767463,Others,Positive,Positive,Positive,"Works when needed, ink doesn't dry out.",Positive
369771039,Others,Negative,Negative,Negative,I haven't received a replacement for my ink,Negative
369776717,Product Quality,Positive,Positive,Positive,Extremely reliable although expensive to run with ink cartridges.,Positive
369786104,Others,Negative,Negative,Negative,Out of black ink.,Negative
369795389,Product Quality,Negative,Negative,Negative,Your ink cartridgeâ€™s dry out way too fast,Negative
369803815,Product Quality,Positive,Positive,Positive,Reliable.  Love the Instant ink delivery,Positive
369803815,Delivery,Positive,Positive,Positive,Reliable.  Love the Instant ink delivery,Positive
369805874,Others,Negative,Negative,Negative,"It works but the ink is_x000D_
Ridiculously expensive.",Negative
369890271,Others,Negative,Negative,Negative,Printed.5 pages (black) and my ink is fading,Negative
369900994,Product Quality,Positive,Positive,Positive,"Good quality printer,long print cartridge life",Positive
369909531,Others,Positive,Positive,Positive,Easy to work and change ink cartridges.,Positive
370041652,Price,Negative,Negative,Negative,Over priced. Unable to simply purchase ink cartridges.,Negative
370041652,Product Quality,Negative,Negative,Negative,Over priced. Unable to simply purchase ink cartridges.,Negative
370049418,Others,Negative,Negative,Negative,"Problem connecting to WiFi._x000D_
Uses ink fast",Negative
370053677,Others,Negative,Neutral,Negative,Itâ€™s dead average and runs out ink too quickly.,Negative
370055571,Product Quality,Positive,Positive,Positive,Good quality prints and very economical with the ink,Positive
370065209,Price,Negative,Negative,Negative,The ink cartridges are so expensive.,Positive
370170908,Price,Negative,Negative,Positive,"Quality product as expected, but these days too expensive!",Positive
370170908,Product Quality,Negative,Negative,Positive,"Quality product as expected, but these days too expensive!",Positive
370170954,Price,Negative,Negative,Negative,Prices of ink are Ridiculous!,Negative
370170954,Product Quality,Negative,Negative,Negative,Prices of ink are Ridiculous!,Negative
370170977,Others,Positive,Positive,Positive,Needed this ASAP and received it right on time.,Positive
370171241,Others,Negative,Positive,Negative,I need ink shipped very fast,Positive
370171245,Product Quality,Positive,Positive,Positive,Delivery to the door worked perfect!!!,Positive
370171245,Delivery,Positive,Positive,Positive,Delivery to the door worked perfect!!!,Positive
370171340,Others,Positive,Positive,Positive,I love the quality,Positive
370192663,Others,Negative,Negative,Negative,Poor color printing,Negative
370204240,Others,Negative,Negative,Negative,Printer ink ran out pretty quickly,Negative
370220046,Others,Positive,Positive,Positive,Over all works well but ink is expensive.,Positive
370221657,Others,Negative,Negative,Negative,The ink runs out very quickly,Negative
370232794,Delivery,Neutral,Positive,Positive,Dependable ink delivery,Positive
370234637,Product Quality,Positive,Positive,Positive,Good printer and quality ink for all printing needs.,Positive
370238928,Others,Negative,Positive,Positive,Provides Print cartridges before I run out of ink,Positive
370358049,Others,Positive,Positive,Positive,"Bought it many times, good quality genuine product",Positive
370358103,Price,Positive,Positive,Positive,"Product is pure HP quality and price, for sure",Positive
370358103,Product Quality,Positive,Positive,Positive,"Product is pure HP quality and price, for sure",Positive
370358118,Price,Positive,Positive,Positive,Great but Expensive,Neutral
370358281,Others,Positive,Positive,Positive,Easy to install and works perfectly with our printer,Positive
370358313,Others,Positive,Positive,Positive,They work,Positive
370358429,Others,Positive,Positive,Positive,Compatible with my printer,Positive
370358481,Price,Negative,Negative,Negative,it works too expensive !!!!!!!!!!!!!!,Negative
370358481,Product Quality,Negative,Negative,Negative,it works too expensive !!!!!!!!!!!!!!,Negative
370358756,Others,Negative,Negative,Negative,It must have been old.. dried out?,Negative
370388463,Others,Negative,Negative,Negative,It is very slow and ink does not last,Negative
370394825,Others,Positive,Positive,Positive,Easy to use efficient on ink,Positive
370396786,Others,Negative,Negative,Negative,Replacement ink never arrives,Negative
370415375,Product Quality,Positive,Positive,Positive,Reasonable value ink and good customer service,Neutral
370415375,Customer Service,Positive,Positive,Positive,Reasonable value ink and good customer service,Neutral
370418522,Others,Positive,Negative,Positive,Quick to send ink,Positive
370423235,Others,Positive,Positive,Positive,"Easy to use, affordable cartridge to replace.",Positive
370519533,Others,Positive,Positive,Positive,It works. And wasn't too expensive.,Positive
370519851,Others,Negative,Negative,Negative,It was wrong fit for tmy new printer,Negative
370554642,Others,Negative,Negative,Negative,Did not receive my six month ink deal,Negative
370562464,Others,Negative,Negative,Negative,The ink didnâ€™t last very long.,Negative
370596116,Product Quality,Negative,Negative,Negative,Unreliable. Connectivity issues. Very costly with ink usage.,Negative
370636888,Others,Negative,Negative,Negative,Original ink ran out VERY fast,Negative
371060672,Price,Positive,Positive,Positive,Good pricing on printer but ink is expensive,Positive
371181800,Others,Positive,Positive,Positive,Was quick to send my ink,Positive
371192464,Others,Positive,Neutral,Positive,easy to replase ink,Positive
371200342,Delivery,Positive,Positive,Positive,I like the ink delivery,Positive
371203500,Others,Positive,Positive,Positive,Always reliable and always good on ink simple 10/10,Positive
371213732,Product Quality,Positive,Positive,Positive,Great color reproduction and economical use of ink!,Positive
371219000,Others,Negative,Neutral,Negative,Dry ink,Negative
371221084,Others,Positive,Positive,Positive,Very easy to use. Simple to install cartridges,Positive
371304013,Others,Negative,Negative,Negative,I didn't receive ink yet,Negative
371410798,Product Quality,Positive,Positive,Positive,"Very good basic,small printer, ink hog though",Positive
371428555,Others,Negative,Negative,Negative,It runs out of ink quickly.,Negative
371434635,Others,Negative,Positive,Negative,Reliable printer but uses ink that is too expensive.,Positive
371438109,Others,Positive,Positive,Positive,Save ink even after hundred of printing,Positive
371442436,Others,Negative,Negative,Negative,I could not use ink cartridges I purchased previously.,Negative
371521729,Product Quality,Positive,Positive,Positive,"Fast shipping, great fit!",Positive
371521729,Delivery,Positive,Positive,Positive,"Fast shipping, great fit!",Positive
371521737,Price,Positive,Negative,Negative,Unfortunately hp print cartridges are very pricey. Excellent quality.,Negative
371521737,Product Quality,Positive,Negative,Negative,Unfortunately hp print cartridges are very pricey. Excellent quality.,Positive
371521877,Others,Negative,Negative,Negative,ALL 4 INK CANSITERS ARE EMPTY.,Negative
371521881,Others,Negative,Negative,Negative,Too baggy wrong size,Negative
371521882,Price,Negative,Negative,Negative,These cartridges are very expensive and don't last long.,Negative
371535593,Price,Negative,Negative,Negative,HP ink cost is too high,Negative
371535916,Others,Negative,Positive,Positive,Never have to be without ink,Positive
371555145,Others,Negative,Negative,Negative,The ink replacement cartridges are costly.,Negative
371557796,Others,Negative,Neutral,Negative,Like it but ink doesnâ€™t last,Negative
371635051,Product Quality,Positive,Positive,Positive,More options of ink subscription. Customer service is great!,Positive
371635051,Customer Service,Positive,Positive,Positive,More options of ink subscription. Customer service is great!,Positive
371679455,Others,Positive,Positive,Positive,It arrived quickly and is working just fine.,Positive
371714939,Others,Positive,Positive,Positive,ease of use and easy ink installation,Positive
371720747,Others,Negative,Negative,Negative,The fast rate of ink consumption.,Positive
371743257,Others,Negative,Negative,Negative,I never got a chance to use the ink,Negative
371841294,Others,Positive,Positive,Positive,It works!!,Positive
371841295,Others,Positive,Positive,Positive,It works!!,Positive
371841337,Price,Positive,Positive,Positive,Fast shipping and good value for its price,Positive
371841337,Product Quality,Positive,Positive,Positive,Fast shipping and good value for its price,Positive
371841554,Others,Positive,Positive,Positive,Arrived in good shape,Positive
371842904,Others,Negative,Negative,Negative,It barely lasted as long as a standard cartridge.,Negative
371843073,Price,Negative,Negative,Negative,Extremely expensive but HP printer wont accept anything else.,Negative
371909530,Others,Negative,Negative,Negative,My first cartridge refill didn't last long.,Negative
371913371,Price,Positive,Positive,Positive,The ink is inexpensive and the printer is wonderful,Positive
371913371,Product Quality,Positive,Positive,Positive,The ink is inexpensive and the printer is wonderful,Positive
372282665,Others,Positive,Positive,Positive,"Beautiful color printing , easy set up.",Positive
372312592,Others,Negative,Negative,Negative,Black cartridge failed to work after test page,Negative
372316159,Others,Negative,Neutral,Negative,As I still haven't received my.ink cartridges,Negative
372328133,Price,Negative,Positive,Negative,The ink is very expensive,Negative
372372981,Others,Negative,Negative,Negative,I still havenâ€™t received my replacement ink cartridges yet,Negative
372376378,Delivery,Positive,Positive,Positive,Reliable & prompt ink delivery,Positive
372379408,Product Quality,Positive,Positive,Positive,Excellent quality print ink goes along way A1 product,Positive
372398952,Product Quality,Positive,Positive,Positive,"Easy to use, good quality print, cheap ink",Positive
372406793,Others,Negative,Negative,Negative,Ink cartridges run out very quickly,Negative
372408595,Others,Positive,Positive,Positive,Easy to set up and order inks,Positive
372489387,Others,Positive,Positive,Positive,Easy to install in works as expected.,Positive
372491575,Price,Positive,Positive,Positive,use this all the time. great price on amazon.,Positive
