Survey ID,cat,polarity-roberta,polarity-ms,polarity-fb,sentence,True_label
372491583,Product Quality,Positive,Positive,Positive,"Great product, i will return thank you",Positive
372491587,Price,Positive,Positive,Positive,"Good quality product, good price and good service.",Positive
372491587,Product Quality,Positive,Positive,Positive,"Good quality product, good price and good service.",Positive
372491587,Customer Service,Positive,Positive,Positive,"Good quality product, good price and good service.",Positive
372491699,Product Quality,Positive,Positive,Positive,"Easy to order, lightning fast service and good quality.",Positive
372495557,Price,Positive,Positive,Positive,fast shipping. good price,Positive
372495717,Delivery,Positive,Positive,Positive,delivery and correct item,Positive
372495752,Delivery,Positive,Positive,Positive,Fast delivery. And worked,Positive
372495776,Product Quality,Positive,Positive,Positive,Quality product and fast delivery!,Positive
372495776,Delivery,Positive,Positive,Positive,Quality product and fast delivery!,Positive
372495779,Product Quality,Positive,Positive,Positive,Very quick delivery. Genuine hp cartridge replacement for printer,Positive
372495779,Delivery,Positive,Positive,Positive,Very quick delivery. Genuine hp cartridge replacement for printer,Positive
372495823,Product Quality,Positive,Positive,Positive,As described. Genuine HP cartridges. VERY quick delivery!!!,Positive
372495823,Delivery,Positive,Positive,Positive,As described. Genuine HP cartridges. VERY quick delivery!!!,Positive
372495840,Price,Positive,Positive,Positive,Good product at a great price,Positive
372495840,Product Quality,Positive,Positive,Positive,Good product at a great price,Positive
372496063,Delivery,Positive,Positive,Positive,Prompt deliveryNo issues installing,Positive
372496126,Others,Positive,Positive,Positive,Original ink good quality,Positive
372496129,Others,Positive,Positive,Positive,All work,Positive
372496212,Others,Positive,Positive,Positive,Work very well with my printer,Positive
372496266,Others,Positive,Positive,Positive,"Works just fine, easy to install.",Positive
372496278,Price,Positive,Positive,Positive,"Good product, and needed it. The price was good",Positive
372496278,Product Quality,Positive,Positive,Positive,"Good product, and needed it. The price was good",Positive
372496279,Price,Positive,Positive,Positive,"Product was needed, good price",Positive
372496279,Product Quality,Positive,Positive,Positive,"Product was needed, good price",Positive
372496346,Product Quality,Positive,Positive,Positive,Good product which provides quality prints.,Positive
372496428,Price,Negative,Neutral,Negative,They work but seems way too expensive,Negative
372496571,Others,Negative,Negative,Negative,Ink is ink---just wish it wasn't so pricy,Negative
372496623,Others,Negative,Negative,Negative,Ink didn't last very long at all.,Negative
372496731,Others,Negative,Negative,Negative,Does not last long,Negative
372496748,Others,Negative,Negative,Negative,Did not work all.,Negative
372496820,Others,Negative,Negative,Negative,"Cartridges faulty, do not work",Negative
372527184,Others,Positive,Positive,Positive,Excellent color and no lines going across pictures,Positive
372533497,Others,Negative,Negative,Negative,Replacement ink cartridges are expensive.,Negative
372538102,Others,Positive,Neutral,Negative,Ink cartridges last for only a few pages,Negative
372614559,Price,Positive,Positive,Positive,An excellent product at a competitive price +instant ink,Positive
372614559,Product Quality,Positive,Positive,Positive,An excellent product at a competitive price +instant ink,Positive
372818144,Others,Negative,Negative,Negative,The cartridges ran out after printing six pages.,Negative
372824912,Product Quality,Positive,Positive,Positive,Quality was fine,Positive
372825859,Others,Positive,Positive,Positive,the color looks good and sharp.,Positive
372826744,Product Quality,Positive,Positive,Positive,Delivery was swift with tracking updates.  Product was excellent.,Positive
372826744,Delivery,Positive,Positive,Positive,Delivery was swift with tracking updates.  Product was excellent.,Positive
372826924,Others,Neutral,Neutral,Negative,The price not going down.,Negative
372827329,Price,Positive,Positive,Positive,Reasonably priced - works well in my printer,Positive
372827329,Product Quality,Positive,Positive,Positive,Reasonably priced - works well in my printer,Positive
372827331,Price,Positive,Positive,Positive,I always buy this cartridge because of the price,Positive
372827332,Price,Negative,Negative,Negative,But expensive,Negative
372828045,Price,Negative,Negative,Negative,This is so expensive. Shockingly expensive.,Negative
372828047,Product Quality,Positive,Positive,Positive,Thank you for the speedy delivery,Positive
372828047,Delivery,Positive,Positive,Positive,Thank you for the speedy delivery,Positive
372849766,Others,Positive,Positive,Positive,Great clarity with printing. Very easy to replace cartridge,Positive
372852317,Product Quality,Positive,Neutral,Neutral,"Medium quality of printer_x000D_
Expensive ink cartridges",Negative
372854472,Others,Negative,Negative,Negative,Black ink keeps clogging up if not used regularly,Negative
372876507,Others,Negative,Negative,Negative,The ink is REALLY  EXPENSIVE,Negative
373122264,Price,Negative,Negative,Negative,Too expensive inks and overly complex machines.,Negative
373125234,Others,Negative,Negative,Negative,The black ink cartridge will not connect to printrr,Negative
373140862,Others,Negative,Negative,Negative,The ink cartridges don't last two minutes,Positive
373141974,Others,Negative,Neutral,Negative,Ink cartridges last very short period of time,Negative
373144902,Others,Negative,Negative,Positive,Your product only allows me to use YOUR ink,Negative
373153268,Others,Negative,Negative,Negative,Not cheap on ink,Negative
373234502,Others,Negative,Negative,Negative,the color is not good...,Negative
373290725,Others,Positive,Positive,Positive,I printed only two pages colour. Colour ink finished.,Negative
373410198,Others,Negative,Negative,Negative,Cost of inks and their obsolesence,Negative
373419245,Price,Negative,Positive,Negative,"Excellent printer but ink is too expensive,",Positive
373419245,Product Quality,Negative,Positive,Negative,"Excellent printer but ink is too expensive,",Positive
373426880,Price,Negative,Neutral,Positive,Price of replacement cartridges,Negative
373428939,Price,Negative,Negative,Negative,Lost connection constantly and cartridges too expensive.,Negative
373431375,Others,Negative,Negative,Negative,The ink cartridges donâ€™t last as much.,Negative
373441846,Others,Negative,Negative,Negative,Yet to receive replacement ink cartridges.,Negative
373738553,Delivery,Positive,Positive,Positive,works great and quick delivery.,Positive
373740016,Product Quality,Positive,Positive,Positive,Just what I wanted great delivery time thanks ðŸ˜Š,Positive
373740016,Delivery,Positive,Positive,Positive,Just what I wanted great delivery time thanks ðŸ˜Š,Positive
373741850,Product Quality,Positive,Positive,Positive,"Great product, i will return",Positive
373741852,Price,Positive,Positive,Positive,great price,Positive
373742974,Price,Positive,Positive,Positive,Genuine HP ink. Really good price.,Positive
373742974,Product Quality,Positive,Positive,Positive,Genuine HP ink. Really good price.,Positive
373744222,Price,Positive,Positive,Positive,Excellent quality and price was right and fast delivery.,Positive
373744222,Product Quality,Positive,Positive,Positive,Excellent quality and price was right and fast delivery.,Positive
373744222,Delivery,Positive,Positive,Positive,Excellent quality and price was right and fast delivery.,Positive
373744547,Others,Positive,Positive,Positive,With HP you cant go wrong!,Positive
373744980,Price,Negative,Negative,Positive,Price is more for less product.,Negative
373745347,Others,Positive,Positive,Positive,It works,Positive
373745510,Product Quality,Positive,Positive,Positive,Good value inks. Quick delivery. Perfect,Positive
373745510,Delivery,Positive,Positive,Positive,Good value inks. Quick delivery. Perfect,Positive
373745873,Product Quality,Positive,Positive,Positive,Awesome Fast Shipping! Great Product :),Positive
373745883,Price,Positive,Positive,Positive,Happy with price and product,Positive
373746268,Price,Positive,Positive,Positive,Great price & does the job perfectly,Positive
373746268,Product Quality,Positive,Positive,Positive,Great price & does the job perfectly,Positive
373746708,Others,Positive,Positive,Positive,Easy to install beautiful color and print,Positive
373746780,Price,Positive,Positive,Positive,Works perfectly and great price!,Positive
373746780,Product Quality,Positive,Positive,Positive,Works perfectly and great price!,Positive
373747503,Price,Positive,Positive,Positive,Delivery quick and competitive price.,Positive
373747503,Delivery,Positive,Positive,Positive,Delivery quick and competitive price.,Positive
373748008,Delivery,Positive,Positive,Positive,fast delivery- easier to order,Positive
373751838,Price,Positive,Positive,Positive,Original ink at a great price!!,Positive
373751838,Product Quality,Positive,Positive,Positive,Original ink at a great price!!,Positive
373751841,Others,Positive,Positive,Positive,Got exactly what I ordered. Thanks.,Positive
373751855,Price,Positive,Positive,Positive,Perfect at a better price than elsewhere,Positive
373751862,Price,Positive,Positive,Positive,Nice price for product.,Positive
373751862,Product Quality,Positive,Positive,Positive,Nice price for product.,Positive
373752140,Price,Positive,Neutral,Positive,Fair price for original,Positive
373752612,Price,Positive,Positive,Positive,Great price and great product,Positive
373752612,Product Quality,Positive,Positive,Positive,Great price and great product,Positive
373752620,Others,Positive,Positive,Positive,A prompt delivery of the item.,Positive
373754337,Others,Neutral,Neutral,Negative,"Nothing wrong with the product, just the wrong number",Neutral
373754429,Others,Positive,Positive,Positive,this is what works for my printer,Positive
373756674,Price,Positive,Neutral,Positive,"Pricing appears competitive and HP, historically, has good quality.",Positive
373756674,Product Quality,Positive,Neutral,Positive,"Pricing appears competitive and HP, historically, has good quality.",Positive
373758337,Product Quality,Positive,Positive,Positive,Does the job. Expensive but good quality.,Positive
373758531,Product Quality,Positive,Positive,Positive,Very fast shipment and received in excellent condition.,Positive
373758531,Delivery,Positive,Positive,Positive,Very fast shipment and received in excellent condition.,Positive
373758853,Price,Positive,Positive,Positive,"Great print, great price",Positive
373758853,Product Quality,Positive,Positive,Positive,"Great print, great price",Positive
373760119,Others,Negative,Negative,Negative,Ink did not last and dry,Negative
373763050,Others,Negative,Negative,Negative,"I received a used, open, almost empty ink cartridge.",Negative
373819334,Others,Negative,Negative,Positive,Uses ink very fast,Negative
373823585,Product Quality,Positive,Positive,Positive,Excellent color. Excellent ink supply.,Positive
373825661,Others,Negative,Positive,Positive,Works well but runs out of ink fairly fast.,Positive
373827263,Others,Negative,Neutral,Negative,I only ever received 1 lot of ink .,Negative
373828107,Delivery,Positive,Positive,Positive,Ease of use and on time ink delivery,Positive
373833534,Others,Positive,Positive,Positive,Easy ink program that is cost effective,Positive
374140002,Price,Positive,Positive,Positive,Good price and delivered next day!,Positive
374140002,Product Quality,Positive,Positive,Positive,Good price and delivered next day!,Positive
374140002,Delivery,Positive,Positive,Positive,Good price and delivered next day!,Positive
374144075,Product Quality,Positive,Positive,Positive,Very fast shipment and received in excellent condition.,Positive
374144075,Delivery,Positive,Positive,Positive,Very fast shipment and received in excellent condition.,Positive
374144076,Product Quality,Positive,Positive,Positive,Very fast shipment and received in excellent condition.,Positive
374144076,Delivery,Positive,Positive,Positive,Very fast shipment and received in excellent condition.,Positive
374144574,Price,Negative,Negative,Negative,TOO EXPENSIVE!,Negative
374200228,Others,Negative,Negative,Negative,ink runs out very quickly,Negative
374200612,Price,Negative,Negative,Negative,The price of the cartridge refills is too expensive!,Negative
374200612,Product Quality,Negative,Negative,Negative,The price of the cartridge refills is too expensive!,Negative
374200612,Customer Service,Negative,Negative,Negative,The price of the cartridge refills is too expensive!,Negative
374220529,Customer Service,Negative,Negative,Negative,Not happy with ink order form service,Negative
374489263,Others,Positive,Positive,Positive,Better priced on Amazon than the big box store,Positive
374489855,Delivery,Positive,Positive,Positive,"Genuine cartridges at a reasonable price, with prompt delivery",Positive
374490428,Others,Positive,Neutral,Positive,Works on printer.,Positive
374490526,Product Quality,Positive,Negative,Positive,HP has goiod quality.,Positive
374493245,Product Quality,Positive,Positive,Positive,Its a good product and it arrived when it,Positive
374497664,Product Quality,Positive,Positive,Positive,Excellent value for money and very quick delivery,Positive
374497664,Delivery,Positive,Positive,Positive,Excellent value for money and very quick delivery,Positive
374498711,Price,Positive,Positive,Positive,Perfect at a better price than elsewhere!,Positive
374498711,Product Quality,Positive,Positive,Positive,Perfect at a better price than elsewhere!,Positive
374500468,Others,Positive,Positive,Positive,Ordered items arrived as stated.No problem with order.,Positive
374500733,Price,Positive,Positive,Positive,It came quickly and for a good price.,Positive
374501168,Product Quality,Positive,Positive,Positive,great quality; lots of ink!!,Positive
374505883,Price,Negative,Negative,Negative,over priced over priced overpriced,Negative
374506211,Others,Negative,Neutral,Negative,Took awhile to arrive.,Negative
374519424,Others,Neutral,Neutral,Neutral,"No choice of color_x000D_
Location of ink cartridge.",Positive
374646476,Price,Negative,Negative,Negative,ink runs out too quickly and is very expensive,Negative
374648298,Price,Negative,Negative,Negative,Cost of ink cartridges is way too expensive,Negative
374665163,Price,Negative,Negative,Negative,The cartridges are very expensive,Negative
375375061,Product Quality,Positive,Positive,Positive,Super fast shipping. Good product,Positive
375401288,Others,Negative,Negative,Negative,it is expensive to refill the ink often.,Negative
375670024,Price,Positive,Positive,Positive,"Best price available, fast delivery to door.",Positive
375670024,Product Quality,Positive,Positive,Positive,"Best price available, fast delivery to door.",Positive
375670024,Delivery,Positive,Positive,Positive,"Best price available, fast delivery to door.",Positive
375672732,Others,Positive,Positive,Negative,Printed 10 pages with minimal ink and it's out,Negative
375699902,Others,Positive,Positive,Positive,Worry free ink cartridge replacement.  Long lasting ink.,Positive
375711144,Others,Positive,Positive,Positive,I never run out of ink,Positive
375772399,Others,Negative,Negative,Negative,Ink cartridges don't last long,Negative
375989633,Product Quality,Positive,Positive,Positive,Great printer..makes good color photos,Positive
376507334,Others,Negative,Negative,Negative,did not receive in my order,Negative
376813458,Price,Positive,Positive,Positive,"Best price available, fast delivery to door.",Positive
376813458,Product Quality,Positive,Positive,Positive,"Best price available, fast delivery to door.",Positive
376813458,Delivery,Positive,Positive,Positive,"Best price available, fast delivery to door.",Positive
376814355,Price,Negative,Positive,Positive,"HP ink is a good product, but expensive",Negative
376814355,Product Quality,Negative,Positive,Positive,"HP ink is a good product, but expensive",Negative
377167817,Product Quality,Positive,Positive,Positive,High quality printing with the cartridges,Positive
377167882,Price,Positive,Positive,Positive,Great products. Good prices. Excellent delivery!!,Positive
377167882,Product Quality,Positive,Positive,Positive,Great products. Good prices. Excellent delivery!!,Positive
377167882,Delivery,Positive,Positive,Positive,Great products. Good prices. Excellent delivery!!,Positive
377168376,Price,Negative,Negative,Positive,"The quality is fine, but price keeps going up.",Neutral
377168376,Product Quality,Negative,Negative,Positive,"The quality is fine, but price keeps going up.",Neutral
377484388,Delivery,Positive,Positive,Positive,Fast delivery. Used in printer.,Positive
377484519,Price,Negative,Neutral,Negative,price could be lower,Negative
377484521,Others,Positive,Positive,Positive,The colors are fantastic,Positive
377486034,Product Quality,Positive,Positive,Positive,Fast shipping ! Good value large capacity.,Positive
377486317,Price,Positive,Positive,Positive,Great price and fast shpping.,Positive
377486419,Others,Positive,Positive,Positive,Used for printer good price,Positive
377486672,Price,Positive,Positive,Positive,Perfect at a better price than elsewhere!,Positive
377486672,Product Quality,Positive,Positive,Positive,Perfect at a better price than elsewhere!,Positive
377486774,Price,Positive,Positive,Positive,"good price, free delivery and arrived in 2 days",Positive
377486774,Product Quality,Positive,Positive,Positive,"good price, free delivery and arrived in 2 days",Positive
377486774,Delivery,Positive,Positive,Positive,"good price, free delivery and arrived in 2 days",Positive
377490792,Customer Service,Positive,Positive,Positive,Customer service was great ðŸ˜Š,Positive
377490797,Others,Positive,Positive,Positive,Purchase was easy and shipped fast.,Positive
377490802,Customer Service,Positive,Positive,Positive,Customer service rep was awesome!!! Thank you!!!,Positive
377490882,Product Quality,Positive,Positive,Positive,Delivered on time and in great condition,Positive
377490882,Delivery,Positive,Positive,Positive,Delivered on time and in great condition,Positive
377490930,Others,Positive,Positive,Positive,Works well in my HP printer,Positive
377490982,Others,Positive,Positive,Positive,quick service,Positive
377495373,Others,Negative,Negative,Negative,not worth it. didnt even last a  week,Negative
377495374,Others,Negative,Negative,Negative,not worth it. didnt even last a  week,Negative
377495637,Others,Negative,Positive,Negative,Canâ€™t believe this lasted only less than 20 pages!,Negative
378115765,Others,Positive,Positive,Positive,Happy with purchase and will buy again.,Positive
378116695,Others,Negative,Positive,Positive,My mom needed ink. This ink last long.,Positive
378117947,Price,Positive,Positive,Positive,little expensive but good product,Negative
378117947,Product Quality,Positive,Positive,Positive,little expensive but good product,Negative
378118495,Others,Positive,Positive,Positive,Works well in my HP printer,Positive
378119311,Price,Negative,Positive,Positive,"HP ink is a good product, but expensive",Negative
378119311,Product Quality,Negative,Positive,Positive,"HP ink is a good product, but expensive",Negative
378119882,Others,Negative,Negative,Negative,not worth it. didnt even last a  week,Negative
378119898,Others,Negative,Negative,Negative,This ink does not last very long.,Negative
378412629,Others,Positive,Positive,Positive,Quick service as always,Positive
378413085,Others,Positive,Positive,Positive,received just what i ordered.,Positive
378415247,Others,Positive,Positive,Positive,Works well with my printer,Positive
378415373,Product Quality,Positive,Positive,Positive,"Effcient delivery, good quality product",Positive
378415373,Delivery,Positive,Positive,Positive,"Effcient delivery, good quality product",Positive
378427479,Price,Negative,Negative,Negative,Price a bit high,Negative
378427480,Others,Positive,Positive,Positive,Excellent quality.,Positive
378427514,Others,Positive,Positive,Positive,"HP originals, excellent print.",Positive
378427654,Others,Positive,Positive,Positive,It worked right out of the boxâ€¦. Nice colors,Positive
378428434,Others,Positive,Neutral,Positive,Price was reasonable.,Positive
378428443,Others,Positive,Positive,Positive,It works,Positive
378428590,Others,Positive,Positive,Positive,Good work for printing.,Positive
378436459,Others,Positive,Positive,Positive,This cartridge worked well in my HP printer.,Positive
378438347,Product Quality,Positive,Positive,Positive,Good product and fast delivery,Positive
378438347,Delivery,Positive,Positive,Positive,Good product and fast delivery,Positive
378438370,Product Quality,Positive,Positive,Positive,"It came quickly, and the ink quality is good.",Positive
378444614,Others,Positive,Positive,Positive,Excellent quality,Positive
378444837,Price,Positive,Positive,Positive,Fair price and great product,Positive
378444837,Product Quality,Positive,Positive,Positive,Fair price and great product,Positive
378445037,Price,Negative,Positive,Negative,ink is nice ï¼Œprice isnâ€™t beautiful,Positive
378445192,Others,Positive,Positive,Positive,works well in my printer,Positive
378445449,Price,Positive,Neutral,Positive,Affordable price,Positive
378445717,Others,Negative,Negative,Positive,Great black color. Doesn't last long at all,Neutral
378446057,Price,Negative,Positive,Negative,"this item was very expensive,",Negative
378448274,Others,Negative,Negative,Negative,Dry ink and I am not happy.,Negative
378455204,Product Quality,Negative,Negative,Negative,Defective product!,Negative
378455350,Others,Positive,Negative,Negative,Never printed. No ink or dryed up.,Negative
378561533,Others,Positive,Positive,Positive,"Easy to install, well-priced",Positive
378562759,Others,Positive,Positive,Positive,These cartridges last a long time,Positive
378562878,Price,Negative,Neutral,Positive,PRICEY ........................................................,Negative
378562878,Customer Service,Negative,Neutral,Positive,PRICEY ........................................................,Negative
378564390,Others,Positive,Positive,Positive,Works well and last very long!,Positive
378564551,Others,Negative,Negative,Negative,If was black,Neutral
378564587,Price,Negative,Neutral,Neutral,the product is as expected but very expensive,Negative
378564623,Price,Negative,Negative,Negative,Too expensive and runs out of ink very quickly.,Negative
378564624,Price,Negative,Negative,Negative,Over priced.,Negative
378564857,Price,Negative,Negative,Negative,The ink is too expensive.,Negative
378565344,Price,Negative,Neutral,Negative,The HP ink cartridges are very expensive,Negative
378872036,Product Quality,Positive,Positive,Positive,Fast delivery and good quality,Positive
378872036,Delivery,Positive,Positive,Positive,Fast delivery and good quality,Positive
378873211,Product Quality,Positive,Positive,Positive,"Get good quality prints, cartridge easy to install",Positive
378873313,Price,Negative,Negative,Negative,Over priced for what you get,Negative
378873436,Others,Negative,Negative,Negative,drys up to fast,Negative
378873447,Others,Negative,Negative,Negative,Too pricy,Negative
379000733,Others,Negative,Neutral,Neutral,How many pages should one cartridge print?,Neutral
379000852,Others,Negative,Negative,Negative,Received manufacturerâ€™s defective cartridge and returned it,Negative
